编号,景点名称,x,y,简介,介绍,活动
1,左旋柳,155,555,拉萨地区传统植物。,据说，这是由于内地树种受高原气候影响所致。树干大多左向盘旋、曲曲弯弯拧麻花似的上长。相传最初为文成公主于西藏栽种。,
2,土家族馆景区,180,540,土家族博物馆馆内外陈列，展品征集于湖南湘西地区约四百年历史。,按湖南湘西永顺地区土家族传统民居1：1复原，由本民族工匠按民族习俗和传统建筑工艺，在当地建成半成品，运至北京落建。于2000年建设，2001年正式开馆。土家族博物馆由转角花楼、半边吊脚楼、曲尺型吊脚楼、摆手堂、摆手坪、山寨门、榨油坊组成，规划为土家山寨环境。按当地气候配置植物和种植特色农作物。建筑面积1400平方米，摆手坪占地面积688平方米，总占地面积3158平方米。土家族博物馆室内外陈列，按土家族传统生产、生活方式原状复原陈列。展品征集于湖南湘西地区，年代为清代至近代，约四百年历史。,
3,白族馆景区,103,520,白族博物馆馆内陈列，展品征集自大理、剑川约五百年历史。,占地7168平方米，建筑面积3500平方米。建筑按大理古城建筑1：1比例复原，由白族工匠按本民族习俗和传统文化要求在当地建成半成品，运到北京成建。博物馆由明清时期的城门、商业一条街、本主庙、戏台、三房一照壁、四合五天井、茶社、作坊、蝴蝶泉等组成，反映了农业、手工业、商业比较发达的白族文化与经济状态。白族博物馆于1999年初建成。馆内民居陈列按原状复原，所有的展品均征集自大理、剑川等地区，年代为明代、清代至现代，约500年历史。,
4,基诺族景区,58,515,基诺族博物馆馆内外陈列，展品征集于云南约二百年历史。,按云南景洪地区基诺族传统民居1：1复原，由当地工匠按本民族习俗和传统建筑工艺在北京落建。建筑材料由当地运至北京。于1999年建设，2001年正式开馆。基诺族博物馆由传统民居大房子木楼、高架谷仓、高架柴房、树叉篱笆围栏、山包谷梯田组成，规划为基诺山基诺人家居住环境。并按当地气候配置植被和种植特色农作物。占地面积1000平方米，建筑面积250平方米。基诺族博物馆室内外陈列，均按基诺族传统生产、生活方式原状复原陈列。展品征集于云南景洪地区，年代为清代至近代，约二百年历史。,
5,壮族馆景区,205,470,壮族博物馆建筑建筑群包括：靖西型南壮土坯木楼民居、靖西型南壮城镇民居、龙胜型北壮干栏式木楼民居、水上茶楼、忻城土司府局部等 。,壮族博物馆建筑建筑群包括：靖西型南壮土坯木楼民居、靖西型南壮城镇民居、龙胜型北壮干栏式木楼民居、水上茶楼、忻城土司府局部等 。展览内容：南壮民居原状陈列、北壮民居原状陈列、壮族风情图片展览等。,10：00-11：00/壮族歌舞*14：00-16：00/六月六文化演出
6,仫佬族景区,220,452,仫佬族博物馆展品馆内外陈列，展品征集广西罗城地区，约二百年历史。,博物馆按广西罗城地区仫佬族传统民居建筑1：1复原，根据本民族习俗和传统建筑工艺在北京落建。于2004年建设，2005年正式开馆。 仫佬族博物馆由传统民居砖楼、竹林组成，规划成独立一户住家环境。并按当地气候配置植被和种植特色农作物。占地面积410平方米，建筑面积102平方米。仫佬族博物馆馆内外陈列，按仫佬族传统生产、生活方式原状复原陈列。展品征集广西罗城地区，年代清代至近代，约二百年历史。,
7,凤湖,150,490,凤湖园林风景区。,凤湖园林自然景观将各民族的生活同溶洞、瀑布、悬崖、石窟、栈道、异型树木、河湖、农田有机地融合在一起，便于观众更加直观地了解各民族生活环境，也增强了参观的趣味性、参与性。,
8,大理三塔,150,447,大理三塔仿建崇圣寺三塔。,是佛教圣地大理崇圣寺的一部分。主塔又名千寻塔建于唐代开成元年（公元 824 至 836年），与主塔鼎立的两小塔，建于五代十国时期（公元907至979年），之间相隔百年。是我国古代建筑的珍品。本大理三塔按0.7：1仿建崇圣寺三塔。主塔高44.62米，为十六级方形密檐式空心砖塔。塔身墙面点缀以小巧玲珑的卷顶佛龛、亭阁式塔浮雕，显得简洁、古朴、大方。塔檐四角起翘呈反曲形，出檐中部内收凹成曲线，使其方中见圆，刚中带柔，显得自然优美。东西两座小塔，均高27.62米，为八角形十级密檐，无塔门的封闭式砖塔。塔身有佛像、莲花、花瓶等浮雕，层层各异。三座塔形成鼎足之势，布局统一，造型和谐，浑然一体。,14：00-14：40/少数民族服饰表演
9,纳西族景区,110,445,纳西族博物馆展品馆内外陈列，展品征集于云南省丽江市，约三百年历史。,室内外陈列，均按纳西族传统生产、生活方式原状复原陈列。展品征集于云南省丽江纳西族治县，年代为清代至近代，约三百年历史。怒族博物馆按云南怒江福贡地区怒族传统民居1：1建设，由怒族工匠按本民族居住习俗和传统建筑工艺，在当地建成半成品运到北京落建。于1999年建设，2001年9月正式开馆。,14：00-14：30/原生态歌会
10,怒族馆景区,75,425,怒族博物馆展品馆内外陈列，展品征集云南怒江福贡、贡山地区，约二百年历史。,博物馆由怒族传统民居福贡型竹篾房、贡山型木板房、水磨房、粮仓、柴棚和猪圈组成，规划成山寨环境。按当地气候配置植物和种植特色农作物。建筑面积201平方米，占地面积1404平方米。怒族博物馆室内外陈列，按怒族传统生产，生活方式原状复原陈列。展品征集云南怒江福贡、贡山地区，年代为清代至近代，约二百年历史。,
11,主展馆,160,390,主展馆长期设立专题展览，反应中华各民族百姓生产生活的场景和文化历史遗存。,历史是大众百姓创造的，然而常见的历史文物中，大众百姓固有的、自然的、体现他们真实生活的文化和生活器物，却往往被人遗忘。传统文物展中，我们更多见到的是帝王将相、卿大夫、珠宝玉器的印记。老百姓的用品，由于无法埋藏于地下，随着时间的流逝，绝大多数消失在历史长河之中。而恰恰就是那些不能称其为“出土文物”的生产和生活用品，却是人类生命文化的写照。是我们的历史，是我们的根。主展馆长期设立的专题展览从生产、生活的不同方面反应了中华各民族百姓生产生活的场景和文化历史遗存。包括祖宗堂、车船驿站、绣房、书房、育儿房、礼房等展区。,
12,摩梭人家,107,385,彝族特色建筑。,彝族博物馆按四川凉山地区彝族传统民居1:1复原，由本民族工匠按民族习俗和传统建筑工艺在当地建成半成品，到北京落建。所有建筑材料包括闪片木板瓦均从大凉山运至北京。于1993年建设，1994年6月正式开馆。彝族博物馆由凉山彝族美姑型民居、越西型民居、布拖型民居、甘络型民居及碉楼、“阿么特罗”石、土林、火把节斗牛场、寨门等组成，规划为彝族山寨环境。并按当地气候环境配置植被和种植特色农作物荞麦、油菜籽等。建筑面积1100平方米，占地面积5460平方米。彝族博物馆室内外，均按彝族传统生产、生活方式原状复原陈列。所有展品征集四川凉山地区，年代为清代至近代，约四百年历史。,
13,中国白族民居门楼,147,365,白族特色居民园区。,白族民居建筑多为内相院落式封闭建筑组合，典型布局为“三房一照壁”、“四合五天井”等形式。其共同特点是将建筑空间进行分隔，大天井的大空间周围是堂屋、卧室等主要生活及活动区，而漏廊分别安排门厅、厨房、畜圈等辅助用房，布局合理，主次分明，相应相辅。民居外装修的处理是白族民居建筑与文化、艺术融合的特点。民居的外部均以白灰、墨画为主要装饰手段，点缀以石蓝、赭等颜色的彩画，色调素雅，线条流畅。木屋架，青瓦屋面，青石板封檐，与高原地区的大自然空间色彩相映，使建筑、人、环境融为一体。,
14,毛南族馆景区,192,330,毛南族博物馆展品馆内外陈列，展品征集广西环江地区，约二百年历史。,按广西环江地区毛南族传统民居建筑1：1复原，由当地工匠根据本民族居住习俗和传统建筑工艺，在当地制成半成品到北京落建。于1999年建设，2001年9月正式开馆。毛南族博物馆由民居干栏青砖青瓦楼一、青砖楼二、院坝及环江木桥组成，规划成山村环境。并按当地气候配置植被和特色农作物。占地面积：1180平方米、建筑面积449平方米、院子面积95.1平方米。毛南族博物馆室内外陈列，按毛南传统生产、生活方式原状复原陈列。所有展品征集广西环江地区，年代为清代至近代，约二百年历史。,
